label,catno,year,artist,title
Innervisions,IV97,2021,Echonomist,Night Versions EP
Innervisions,IV98,2021,Jimi Jules,Ham The Monkey EP
Innervisions,IV100,2021,Âme,The Witness EP
Innervisions,IV101,2021,Various,Secret Weapons Part 13
Innervisions,IV102,2022,Various,Secret Weapons Part 14
Innervisions,IV103,2023,Various,Secret Weapons Part 15
Innervisions,IV104,2023,Skatman,Rewarped
Innervisions,IV105,2023,Nandu Feat. Ida Corr,Tell Me
Innervisions,IV106,2023,Tal Fussman,Children Of 95
Innervisions,IV107,2023,Ede,Poptroit
Innervisions,IV108,2023,Various,Secret Weapons Part 16
Innervisions,IV109,2026,Various,Secret Weapons Part 17
Innervisions,IV110,2024,Frankey & Sandrino,Memories EP
Innervisions,IV111,2024,Âme,Asa EP
Innervisions,IV112,2024,Thimble,The Verb EP
Innervisions,IV113,2024,Yet More,Back 2 Feelin' EP
Innervisions,IV114,2024,Mulya,Silvio EP
Innervisions,IV115,2024,"Shiffer, Paul Brenning",We Care EP
Innervisions,IV116,2025,Ede,Odyssey EP
Innervisions,IVLP08,2014,Recondite,Iffy
Innervisions,IVLP09,2018,Âme,Dream House
Innervisions,IVLP10,2022,Jimi Jules,+
Innervisions,IVLP11,2022,Ivory,Feelin'
Innervisions,IVLP12,2023,Trikk,Fauna & Flora
Innervisions,IVLP13,2023,Echonomist,Secret Places
Innervisions,IVLP14,2025,Trikk,Harmonia
Innervisions,COUNTERVISIONS1,2017,Howling,Phases II
Innervisions,GU2005V3-special,2012,Romanthony,The Wanderer (Dixon Edit)
Innervisions,INNERVISIONSCD02,2008,Various,Muting The Noise 01
Innervisions,INNERVISIONSCD03,2009,Tokyo Black Star,Black Ships
Innervisions,IVCD04,2009,Dixon,Temporary Secretary
Innervisions,IVCD05,2010,Various,Individual Mythologies
Innervisions,IVCD06,2011,Âme,Primary Structures
Innervisions,IVCD07,2012,Âme,Live
Innervisions,IVDANCE,2020,Toto Chiavetta,Setting Of A Ceremony
Innervisions,IVMIX01D,2022,Aera,Versions
Innervisions,GROOVE118,2009,Various,Groove 118 / CD 27
Innervisions,GROOVE140,2012,Various,Groove 140 / CD 49
Innervisions,GROOVE144,2013,Various,Groove 144 / CD 53
Innervisions,GROOVE147,2014,Various,Groove 147 / CD 56
Innervisions,GROOVE158,2015,Various,Groove 158 / CD 67
Innervisions,GROOVE172,2018,Various,Groove 172 / CD 81
Innervisions,DFN80059,2010,Simian Mobile Disco,Is Fixed
Innervisions,MIXMAG0112,2011,Pete Tong,Tracks Of The Year 2011
Innervisions,KONTOR1065242,2015,Various,Kontor Sunset Chill 2015
Innervisions,YT095,2013,The XX,Innervisions Remixes
Innervisions,SK120CD,2006,Various,Innervisions - Where We At
